ID,Age,Income,Home_own,Emp_duration,Loan_purpose,Grade,Req_loan_amount,Yearly_int_rate,term_years,historical_default,cred_hist_length,Stats_loan
237,24,172000,MORTGAGE,0.5,DEBTCONSOLIDATION,B,20000,13.47,10,Y,4,DEFAULT
241,23,74004,RENT,0.583333333,DEBTCONSOLIDATION,D,25000,16.35,10,N,4,DEFAULT
243,25,81000,RENT,0.416666667,DEBTCONSOLIDATION,A,25000,7.29,10,Y,3,DEFAULT
244,23,81600,RENT,0.083333333,MEDICAL,A,25000,11.36,10,N,3,DEFAULT
247,24,83000,RENT,0.416666667,PERSONAL,C,25000,12.92,10,Y,3,NO DEFAULT
248,24,180000,RENT,0.666666667,EDUCATION,D,18000,18.64,10,Y,4,NO DEFAULT
250,23,14400,OWN,0.166666667,HOMEIMPROVEMENT,D,4000,16.7,3,N,2,DEFAULT
256,25,142800,MORTGAGE,0.75,MEDICAL,E,10000,18.25,5,N,4,DEFAULT
259,24,75000,RENT,0,VENTURE,D,25000,14.7,10,Y,3,DEFAULT
260,23,76000,RENT,0.583333333,DEBTCONSOLIDATION,C,25000,16.02,10,N,4,DEFAULT
261,23,66215,RENT,0.083333333,MEDICAL,C,25000,15.37,10,Y,2,DEFAULT
263,21,15000,OWN,0,HOMEIMPROVEMENT,A,6200,7.9,1,N,2,DEFAULT
266,25,180000,OWN,0.75,MEDICAL,B,20000,14.26,10,Y,4,NO DEFAULT
270,23,78000,RENT,0.166666667,VENTURE,C,25000,16.32,10,Y,3,DEFAULT
271,25,66300,RENT,0.25,MEDICAL,D,25000,17.93,10,Y,4,DEFAULT
272,23,90000,RENT,0,DEBTCONSOLIDATION,A,25000,11.36,10,Y,3,NO DEFAULT
273,24,79000,RENT,0.75,DEBTCONSOLIDATION,C,25000,14.96,10,Y,4,DEFAULT
274,24,91800,RENT,0.333333333,PERSONAL,B,25000,13.43,10,Y,3,NO DEFAULT
276,24,92000,RENT,0.083333333,VENTURE,B,25000,12.73,10,Y,4,NO DEFAULT
278,23,15000,MORTGAGE,0.083333333,MEDICAL,B,1750,12.68,3,Y,3,NO DEFAULT
279,23,70550,RENT,0.25,MEDICAL,E,25000,19.04,10,Y,4,DEFAULT
280,25,83800,RENT,0.166666667,DEBTCONSOLIDATION,C,25000,15.95,10,Y,3,DEFAULT
285,23,15000,OWN,0.333333333,DEBTCONSOLIDATION,B,4000,13.98,3,N,4,DEFAULT
286,23,15000,OWN,0.333333333,VENTURE,A,4600,10.99,3,N,2,DEFAULT
287,22,88000,RENT,0.5,DEBTCONSOLIDATION,C,25000,15.58,10,Y,2,DEFAULT
288,25,74800,RENT,0.166666667,MEDICAL,A,25000,10.99,10,N,2,DEFAULT
289,25,88000,RENT,0,VENTURE,C,25000,14.96,10,N,4,DEFAULT
290,25,15000,OWN,0.166666667,HOMEIMPROVEMENT,C,1750,15.31,5,Y,4,NO DEFAULT
291,26,88000,RENT,0.166666667,VENTURE,C,25000,15.65,10,N,3,DEFAULT
293,23,15000,MORTGAGE,0,PERSONAL,B,3600,13.47,3,N,4,DEFAULT
295,24,92000,RENT,0.083333333,HOMEIMPROVEMENT,D,25000,16.77,10,Y,4,DEFAULT
296,23,93000,RENT,0,DEBTCONSOLIDATION,C,25000,14.59,10,Y,2,DEFAULT
297,22,175000,RENT,0.5,VENTURE,B,3500,11.91,2,Y,2,NO DEFAULT
301,26,174000,RENT,0.666666667,DEBTCONSOLIDATION,A,12000,12.53,10,Y,4,NO DEFAULT
302,25,162000,MORTGAGE,0.416666667,DEBTCONSOLIDATION,D,25000,16,10,Y,3,DEFAULT
304,21,15000,OWN,0,HOMEIMPROVEMENT,B,3175,11.54,1,Y,3,DEFAULT
305,25,96000,RENT,0.166666667,HOMEIMPROVEMENT,D,25000,15.68,10,Y,4,DEFAULT
307,24,97908,RENT,0.666666667,HOMEIMPROVEMENT,C,25000,12.61,10,Y,2,DEFAULT
309,23,15204,MORTGAGE,0.583333333,PERSONAL,A,2800,8.49,3,N,3,DEFAULT
310,25,159600,RENT,0,PERSONAL,C,30000,17.27,10,Y,4,DEFAULT
311,24,171500,RENT,0.5,DEBTCONSOLIDATION,A,18000,8.9,10,Y,4,NO DEFAULT
313,24,158004,RENT,0,HOMEIMPROVEMENT,C,25000,14.59,10,Y,2,DEFAULT
316,24,110000,RENT,0.583333333,HOMEIMPROVEMENT,C,25000,15.7,10,Y,2,NO DEFAULT
317,22,15360,OWN,0.583333333,HOMEIMPROVEMENT,A,2500,12.53,2,N,3,DEFAULT
318,25,134300,RENT,0.25,MEDICAL,C,5000,16.49,5,N,2,DEFAULT
320,22,100580,RENT,0.5,DEBTCONSOLIDATION,C,25000,14.96,10,Y,2,DEFAULT
321,25,113000,RENT,0.583333333,MEDICAL,B,25000,12.73,10,Y,4,NO DEFAULT
323,25,120000,RENT,0.5,MEDICAL,A,1000000,10.74,10,N,2,DEFAULT
325,24,91800,RENT,0.416666667,MEDICAL,C,25000,15.33,10,Y,2,DEFAULT
327,26,108000,RENT,0.166666667,PERSONAL,C,25000,15.05,10,N,3,DEFAULT
329,23,130000,RENT,0.333333333,EDUCATION,C,25000,16.02,10,Y,2,NO DEFAULT
332,26,170000,MORTGAGE,0,VENTURE,B,12000,13.57,10,Y,2,NO DEFAULT
334,26,168750,RENT,0.833333333,MEDICAL,B,24250,12.87,10,Y,3,NO DEFAULT
335,23,168600,RENT,0.25,EDUCATION,A,20000,11.58,10,Y,3,NO DEFAULT
338,24,133300,RENT,0.5,DEBTCONSOLIDATION,A,25000,10.37,10,Y,2,NO DEFAULT
339,24,15600,OWN,0.416666667,HOMEIMPROVEMENT,A,3300,6.39,4,N,4,DEFAULT
340,24,134000,RENT,0.666666667,PERSONAL,C,25000,16.07,10,Y,3,NO DEFAULT
342,25,15600,OWN,0,VENTURE,E,3200,18.09,5,N,2,DEFAULT
344,26,135660,RENT,0.833333333,DEBTCONSOLIDATION,A,25000,12.53,10,Y,4,NO DEFAULT
348,22,153000,MORTGAGE,0.416666667,DEBTCONSOLIDATION,C,24000,15.62,10,Y,2,DEFAULT
352,23,16000,OWN,0.583333333,MEDICAL,A,6000,7.9,3,N,2,DEFAULT
353,23,16000,MORTGAGE,0.25,DEBTCONSOLIDATION,B,2275,13.06,3,Y,4,NO DEFAULT
355,23,148000,RENT,0.083333333,DEBTCONSOLIDATION,D,25000,14.93,10,N,3,DEFAULT
356,23,16000,MORTGAGE,0.083333333,MEDICAL,B,5600,12.84,3,N,4,DEFAULT
357,24,16020,OWN,0.25,VENTURE,D,3625,17.14,4,Y,2,DEFAULT
358,22,16094,MORTGAGE,0.166666667,VENTURE,A,5500,7.14,2,N,3,DEFAULT
361,24,185000,RENT,0.583333333,HOMEIMPROVEMENT,B,25000,12.68,10,Y,2,NO DEFAULT
365,25,225000,RENT,0.416666667,VENTURE,A,25000,11.86,10,Y,4,NO DEFAULT
366,25,16400,OWN,0.083333333,PERSONAL,A,5000,8.94,5,N,4,DEFAULT
367,23,16500,OWN,0.5,VENTURE,A,4375,9.63,3,N,4,DEFAULT
368,25,49500,RENT,0.5,PERSONAL,B,24750,14.22,10,N,3,DEFAULT
369,23,60000,RENT,0.333333333,DEBTCONSOLIDATION,A,24750,9.33,10,Y,3,DEFAULT
376,26,160000,RENT,0.5,PERSONAL,B,25000,12.23,10,Y,4,NO DEFAULT
377,25,125800,MORTGAGE,0,MEDICAL,C,10000,14.09,5,N,4,DEFAULT
378,25,54000,RENT,0.166666667,PERSONAL,B,24250,13.98,10,N,4,DEFAULT
379,23,62500,RENT,0.083333333,EDUCATION,A,24250,10.62,10,N,4,DEFAULT
381,25,68400,RENT,0.75,PERSONAL,D,24250,17.56,10,N,4,DEFAULT
382,26,56045,RENT,0.083333333,MEDICAL,C,24250,14.96,10,N,2,DEFAULT
383,22,74000,RENT,0.583333333,DEBTCONSOLIDATION,C,24250,15.65,10,Y,2,DEFAULT
384,24,65453,RENT,0.75,MEDICAL,C,24250,15.7,10,N,2,DEFAULT
386,26,78000,RENT,0,HOMEIMPROVEMENT,D,24250,17.56,10,Y,3,DEFAULT
387,23,100000,RENT,0,PERSONAL,B,24250,12.87,10,Y,2,NO DEFAULT
392,23,160000,MORTGAGE,0.166666667,EDUCATION,C,25000,15.65,10,Y,2,NO DEFAULT
394,21,160000,MORTGAGE,0.25,VENTURE,C,15250,15.31,10,Y,4,NO DEFAULT
395,25,160000,MORTGAGE,0.25,VENTURE,B,20000,13.47,10,Y,2,NO DEFAULT
396,22,16800,MORTGAGE,0,HOMEIMPROVEMENT,B,4750,13.85,2,Y,2,DEFAULT
398,21,16800,MORTGAGE,0,VENTURE,A,6000,10.39,1,N,4,DEFAULT
402,22,108000,RENT,0.083333333,HOMEIMPROVEMENT,C,24150,14.96,10,Y,3,DEFAULT
403,22,43000,RENT,0.583333333,DEBTCONSOLIDATION,B,24000,13.85,10,Y,3,DEFAULT
404,23,47004,RENT,0.083333333,VENTURE,B,24000,11.58,10,N,4,DEFAULT
405,24,48000,RENT,0.333333333,VENTURE,C,24000,16.29,10,Y,2,DEFAULT
407,21,44964,RENT,0.166666667,EDUCATION,C,24000,16.29,10,Y,2,DEFAULT
410,24,47000,RENT,0.25,PERSONAL,E,24000,17.8,10,N,2,DEFAULT
412,22,49000,RENT,0.166666667,MEDICAL,D,24000,17.56,10,N,4,DEFAULT
413,26,60000,RENT,0,PERSONAL,A,24000,7.9,10,N,4,DEFAULT
414,25,60000,RENT,0.25,PERSONAL,A,24000,10.99,10,N,4,DEFAULT
415,22,60000,RENT,0,PERSONAL,A,24000,7.29,10,N,3,DEFAULT
416,21,60000,RENT,0.416666667,MEDICAL,A,24000,10.75,10,N,2,DEFAULT
417,26,62004,RENT,0.75,DEBTCONSOLIDATION,A,24000,7.9,10,Y,3,DEFAULT
418,22,62400,RENT,0.25,EDUCATION,C,24000,14.84,10,N,2,DEFAULT
421,23,59000,RENT,0.416666667,DEBTCONSOLIDATION,D,24000,19.69,10,Y,2,DEFAULT
423,24,60000,RENT,0,VENTURE,C,24000,14.96,10,N,4,DEFAULT
424,25,66143,RENT,0.75,EDUCATION,A,24000,6.99,10,Y,3,DEFAULT
425,22,62250,RENT,0.25,PERSONAL,D,24000,16.45,10,Y,4,DEFAULT
426,24,70000,RENT,0.666666667,EDUCATION,A,24000,10.99,10,N,4,DEFAULT
427,23,74000,RENT,0.583333333,DEBTCONSOLIDATION,A,24000,10.99,10,Y,2,DEFAULT
428,22,18000,OWN,0.25,PERSONAL,A,3000,7.9,2,N,4,DEFAULT
429,22,75000,RENT,0.5,EDUCATION,A,24000,12.69,10,N,4,DEFAULT
430,24,75000,RENT,0.75,MEDICAL,A,24000,10.37,10,N,3,DEFAULT
432,26,69000,RENT,0,DEBTCONSOLIDATION,E,24000,15.83,10,N,3,DEFAULT
433,23,78000,RENT,0.333333333,PERSONAL,B,24000,13.92,10,N,3,DEFAULT
436,22,18000,OWN,0.083333333,HOMEIMPROVEMENT,A,3500,7.49,2,N,4,DEFAULT
437,23,18000,OWN,0.25,EDUCATION,A,4000,5.99,3,N,2,DEFAULT
438,23,74700,RENT,0.5,PERSONAL,C,24000,12.92,10,N,2,DEFAULT
441,22,83000,RENT,0.5,DEBTCONSOLIDATION,D,24000,19.69,10,N,3,DEFAULT
443,21,18000,OWN,0.25,HOMEIMPROVEMENT,C,4900,14.54,1,Y,4,DEFAULT
447,24,18000,OWN,0,HOMEIMPROVEMENT,A,6250,6.54,4,N,4,DEFAULT
449,26,103872,RENT,0.5,DEBTCONSOLIDATION,E,24000,20.03,10,N,4,DEFAULT
452,26,108000,RENT,0.75,EDUCATION,E,24000,20.16,10,N,3,DEFAULT
453,24,124080,RENT,0.333333333,PERSONAL,C,24000,16.49,10,Y,4,NO DEFAULT
454,23,18000,MORTGAGE,0.083333333,MEDICAL,C,2500,15.95,3,N,2,DEFAULT
458,23,114750,RENT,0.166666667,MEDICAL,E,24000,20.03,10,Y,3,DEFAULT
460,23,138000,RENT,0.583333333,DEBTCONSOLIDATION,C,24000,16,10,Y,2,DEFAULT
461,24,18000,OWN,0.5,PERSONAL,A,13000,7.88,10,N,3,DEFAULT
462,21,18000,OWN,0,VENTURE,A,6250,10.62,1,N,4,DEFAULT
464,26,148000,RENT,0.083333333,EDUCATION,E,24000,18.3,10,N,2,DEFAULT
469,24,54996,RENT,0.166666667,PERSONAL,A,23600,11.89,10,N,3,DEFAULT
470,24,18000,MORTGAGE,0,DEBTCONSOLIDATION,A,10000,12.18,4,N,2,DEFAULT
472,23,75000,RENT,0.25,PERSONAL,D,23575,14.5,10,N,4,DEFAULT
474,22,18000,OWN,0.083333333,MEDICAL,C,5400,15.31,2,Y,2,DEFAULT
477,22,66960,RENT,0.083333333,VENTURE,A,23400,7.49,10,N,2,DEFAULT
480,23,60000,RENT,0.166666667,VENTURE,A,23000,12.18,9,N,4,DEFAULT
481,24,18000,MORTGAGE,0.25,VENTURE,B,1200,11.34,4,Y,4,NO DEFAULT
482,25,63208,RENT,0.75,EDUCATION,A,23000,9.91,9,N,3,DEFAULT
483,24,65000,RENT,0,HOMEIMPROVEMENT,A,23000,11.99,9,N,4,DEFAULT
484,23,68000,RENT,0.583333333,EDUCATION,A,23000,9.62,9,N,2,DEFAULT
485,22,18000,OWN,0.083333333,DEBTCONSOLIDATION,A,3000,9.96,2,N,3,DEFAULT
487,24,88000,RENT,0.083333333,VENTURE,C,23000,14.54,9,N,2,DEFAULT
488,22,58600,RENT,0.416666667,MEDICAL,A,22750,11.36,9,N,4,DEFAULT
489,23,70000,RENT,0.583333333,DEBTCONSOLIDATION,B,22500,14.27,9,N,2,DEFAULT
490,24,18287,OWN,0.25,HOMEIMPROVEMENT,A,3000,11.99,4,N,3,DEFAULT
491,26,69846,RENT,0.166666667,EDUCATION,E,22500,18.99,9,Y,2,DEFAULT
492,24,73000,RENT,0,VENTURE,D,22400,16.7,9,Y,4,DEFAULT
493,24,18500,MORTGAGE,0.666666667,PERSONAL,A,5000,9.32,4,N,3,DEFAULT
494,23,35000,RENT,0.166666667,DEBTCONSOLIDATION,B,22250,12.69,9,N,3,DEFAULT
495,25,43000,RENT,0.75,HOMEIMPROVEMENT,B,22000,13.11,9,N,2,DEFAULT
496,25,52000,RENT,0.333333333,PERSONAL,A,22000,10.74,9,N,2,DEFAULT
497,21,18701,MORTGAGE,0,PERSONAL,C,4200,14.11,1,Y,4,DEFAULT
498,22,57000,RENT,0.5,EDUCATION,A,22000,9.63,9,N,3,DEFAULT
499,25,58000,RENT,0,MEDICAL,B,22000,14.65,9,N,2,DEFAULT
500,23,60000,RENT,0.5,DEBTCONSOLIDATION,A,22000,10.25,9,N,4,DEFAULT
501,24,60000,RENT,0.25,VENTURE,B,22000,14.26,9,Y,2,DEFAULT
502,25,18840,MORTGAGE,0.416666667,EDUCATION,A,3000,9.91,5,N,2,DEFAULT
503,26,56000,RENT,0.583333333,MEDICAL,D,22000,17.19,9,N,3,DEFAULT
504,22,70000,RENT,0.25,EDUCATION,A,22000,11.36,9,N,4,DEFAULT
508,22,19000,OWN,0.5,MEDICAL,A,3625,8.49,2,N,3,DEFAULT
510,21,19000,OWN,0.416666667,MEDICAL,A,6000,8.49,1,N,3,DEFAULT
513,24,19000,OWN,0.25,MEDICAL,B,7400,13.85,4,N,2,DEFAULT
514,25,19000,OWN,0.25,DEBTCONSOLIDATION,A,4000,7.4,5,N,3,DEFAULT
516,25,77650,RENT,0.666666667,PERSONAL,A,22000,11.48,9,N,3,DEFAULT
517,25,82000,RENT,0.083333333,EDUCATION,D,22000,17.51,9,N,2,DEFAULT
518,21,19012,MORTGAGE,0,DEBTCONSOLIDATION,C,3500,14.61,1,N,3,DEFAULT
521,22,19200,MORTGAGE,0.5,PERSONAL,A,4950,11.71,2,N,2,DEFAULT
522,25,57000,RENT,0.333333333,PERSONAL,A,21700,11.99,9,N,2,DEFAULT
523,24,54000,RENT,0.416666667,VENTURE,B,21600,13.49,9,N,2,DEFAULT
524,23,56000,RENT,0.666666667,MEDICAL,E,21600,21.21,9,Y,4,DEFAULT
